review,rating
"Beyond Brilliant This movie took my breath away. When the end credits began to roll, all I could think of was just how brilliant this film is! I was absolutely astonished by the level of craftsmanship on Darren Aronofsky's part, and just the sheer complexity of the writing. Aronofsky says he wrote the screenplay in six days, which just blows my mind. It is so intricate and delicately designed, that I don't know how he was able to write it in less than a week. I think it just goes to show how much of a pure genius Aronofsky is. This is a movie that is driven 100% by its story and its screenplay. Everything else, from the camera angles, to the score, to the performances, are in service to that script. So it's hard to sit here and say ""Oh, well the cinematography is gorgeous"" or ""Jennifer Lawrence is fantastic in the film"", because their purpose was not to stand out on their own. Everything they did was to enrich and drive forward this story, and that doesn't necessarily work for every film, but it absolutely works here. This film is made by the deep complexity of its metaphors and allegories, and by its social and theological analysis of our past, present, and future. Without the strength of its script, mother! would fall apart. Luckily, Aronofsky",10
"Jennifer Lawrence Hubris I thought this was worth its salt even though it did tend towards clich? as it wore on. The disappointing aspect of this film is that Jennifer Lawrence somehow portrays an ego that is beyond the character. It's a kind of ""you know that I know I'm only acting this and the real movie is me"" that seems to have perpetuated in every film she had made since Silver linings Playbook, bar X-Men (when she was covered in paint and having to ""live in"" the previous ""humble"" shoes of Rebecca Romijn) and American Hustle (where she was greedy White Trash). She needs a director who can ""humble her down"", in the same way Eastwood did for Jolie in Changeling, so that her ego is less of a distraction for her",7
There's no other weird fo it: This is crap! So great actors. Why are they in this movie? One of the worst films I ever seen...,1
"Not what people expect from a horror movie. Normally, horror movies traffic in fear of being startled.The feeling is similar to talking with someone who says ""I'm going to jump at you"" and then keeps up the threats: ""you'll be startled, just watch... I'm going to make a loud noise... you'll not know when..."" That's annoying, but not very genuinely frightening, not any more than a champagne bottle in a dark room. This movie instead confuses, frustrates, and deeply unsettles you. The logic in it is absurd and dreamlike. I've never come as close to having a nightmare while I was awake. That's not what the average person wants. It's hard to enjoy a movie like that if you think you're smart so you spend time poking holes in absurd logic that is up-front about its absurdity. It's also hard to enjoy if you are in some other way dense or unempathetic. An average person looking for an engaging series of loud noises would be very upset with",10
"Spies in the house of love? ""Mother!"" follows a couple (Lawrence and Bardem) who live in solitude in an expansive farmhouse that the wife has painstakingly restored from a fire. One evening, they are visited by a doctor (Ed Harris), whose wife (Michelle Pfeiffer) follows. The dynamics of the home are turned upside down, and chaos ensues. I won't attempt to give a full plot summary here, as it's truly a waste of time. If the cryptic promotional materials and slim premise are enough to intrigue (as they did myself), then give the film a go. The first half of ""Mother!"" is just shy of brilliance, with bizarre character interactions, wry humor, and phenomenal performances from all involved. At times, the dynamics between Lawrence, Bardem, Harris, and Pfeiffer give one the sense that they're watching a zany stage play, and the actors (especially Pfeiffer and Harris) clearly have a ball with this. As the film progresses into its second half, it shifts and expands in ways that are unabashedly over-the-top, and Aronofsky quite literally pulls the rug out from under his audience.",7
"A 2 hour ordeal - movie torture First off, this felt (at least) 3 hours long, but was only 2 hours, to my great surprise. Ugh. Where do I begin. My friend dragged me to see this, I warned him ahead of time that it was directed by an artsy type director. We had seen another truly awful movie by this same director many years ago - Pi. This movie is one of the worst movies of the decade, if not the century. It's painful to see how self-important, pretentious and eager this movie tries to be, as if its some sort of artistic film. It fails totally. Jennifer Lawrence - what was she thinking? Worst career move in recent history. I just hope this movie doesn't end her career - yes, it is THAT bad. I really liked her acting and performance in the Hunger Games movies, but here, even her star power can't even barely make a dent in the utter awfulness of this film.",1
"Ashes to Ashes... You've started to create a lovely dwelling, an environment you're proud of and it's telling, with a man who has some power, often disappears for showers, he has your heart, and his story is compelling. Alas your paradise and peace has been assailed, as a couple and their children have curtailed, doing things that are forbidden, fratricide can't be forgiven, a burst pipe is quite extreme, beyond the pale. So your partner tries to reinvent his wheel, the result is quite fervent, and full of zeal, a new beginning brings a birth, but it makes everything much worse, so you raise the temperature, to close the deal. Imaginative, inspired, relevant and rewarding - a film that requires several screenings and",9
"WHAT THE F I remember I watched 5mins of this like a year ago. Don't know anything about it, up until now. I gave it another watch (around 2 in the morning) and let me tell you, Mother! Is one crazy ass of a film. Lots of ""what the hell is going on?"", ""who are they?"", ""where are they coming from?"" reaction. The whole thing is a biblical allegory made me furious, uncomfortable af, & very-off putting. There's just so much going on, but suprisingly I liked it. Amazing performance. Just like what other reviews says, I myself can't also recommend it to anyone.",7
"I created an account literally to rate/review this movie 30+ years of watching movies and never created an account. That is how bad this movie was, it made me want to contribute to a lower rating. I would rate it negative 10 if I could. Anyone who tries to sell it as an allegory should never be allowed to review anything ever again. I respect everyone's opinions, but don't even think about trying to sell it with that justification. Literally the worst excuse for a movie ever. If you want to sit there for 2+",1
"When the Universe is against you ""Mother!"" is the epitome of ""horror for people who don't like horrors"". One might not even realize that what they just watched belongs to the horror genre - not because the movie isn't horrifying, but because of how different it is from everything else in the genre. In reality, ""Mother!"" is one of the most terrifying and disturbing pictures you'll ever see in your life. The fact it barely features any imagery of gore, violence, or blood tells a lot. At the end of the day, what are we afraid of the most? What promotes this anxiety that keeps us awake at night and makes us daydream throughout the day? The fear of things going wrong. And do you know what goes wrong in ""Mother!""? EVERYTHING! It's as if your luck became negative, as if the entire universe turned against you, turning you into a magnet for everything bad that can happen in this cruel world. Can you imagine God himself making his number one priority to turn your life into a living hell? What opponent can be more formidable? It doesn't come anywhere close to having to deal with maniacs, monsters, or",9
"A shocking off the rails metaphorical art house film Wow mother! was a real wild ride. I stumbled out of the theater in awe. I don't think I've ever seen anything quite like it. It is really nice to see directors like Darren Aronofsky take chances like this. What you get in mother! is one part drama one part horror six parts insanity. The story does not take any time at all to get going, it becomes completely crazy about an hour in and the final 20 minutes will leave you shocked. While I was not totally floored by either main stars performance the acting was surely great. The problem with mother! is, taken at face value it's totally ridiculous. The things that end up transpiring are absurd and over the top to say the least. Therefore mother! will surely be a polarizing movie. As a small example I went with 3 other people to see it, including myself it was a 50/50 love hate outcome.",8
Another dark Aronofsky movie but this one wasn't that good for me If I ever meet Darren Aronofsky I would ask him what in the name of God did they do to,6
"Pretentious and annoying A married couple live in an isolated country house. He is a celebrated poet, suffering from writer's block, and she is working on renovating the house. Then a guest, a stranger, suddenly drops in and nothing will ever be the same again. Written and directed by Darren Aronofsky who gave us masterpieces like 'The Wrestler' and 'Requiem for a Dream', as well as the excellent 'Black Swan'. The fact that he wrote and directed this was the only reason I watched it, hoping that he was back to the form of those movies as his previous movie was the craptacular-beyond-belief 'Noah'. Unfortunately, no, he isn't, though initially there was a glimmer of hope. The movie started interestingly enough, with some decent character development and some interesting themes. However, from the outset it was slow, plus there were signs this wasn't going to be a character-based drama but something symbolic, and pretentious.",2
"Weird and uncomfortable but that helps to get the message across This is a Virgo's nightmare . The first half was so uncomfortable and hard to watch that I almost stopped, but I liked how it made me think about what was getting triggered in me - feeling out of control and unsafe and having to deal with it. I'm glad I kept watching because I ended up really liking it and I felt like there were two metaphors that the story could represent, one having to do with the life of an artist and the other about religion and the earth. I really liked the ending and it feels like a really deep message that I'm not",10
"I liked the movie Disclaimer: I totally missed the Biblical references and I learnt them from a review here. So obviously that part of the movie was totally lost to me. But. I enjoyed it. It was beautiful, mysterious and in the end totally crazy. It made me think. It made me relate to the woman on the most mundane level - the supportive wife, the self-obsessed artist, the house - the temple of the their love, being desecrated by his ego. I saw it as a grotesque critique of the relationship model - giver/user. So even just that layer was fine with me and made me feel my time was well spent. Also the evolution of the society, with the false idols it creates and then starts killing in ""their name"". It was interesting story told in a way that worked for me. Now, about the Biblical references, in retrospection I can see",7
Mother!,5
"Holy Mother of God! A movie so ingenious, it?s ridiculous. When it comes to being funny, sad, scary, beautiful and wonderful at the same time - well, nothing else comes even near. The acting is so great, it?s insane, especially from the main quartet. Congratulations to those who enjoy this film, which simply gets more intense and better with each viewing. It would be great if Kael and Ebert would get to watch this, as they would know how to appreciate it, but alas... However, Aronofsky finally did it, he made a true masterpiece. Now he?s up there among Arrabal, Bunuel, Capra, Carpenter, Chaplin, Cronenberg, De Palma, De Sica, Herzog, Hitchcock, Jewison, Jodorowsky, Kubrick, Lynch, Polanski and so forth. I?m not here to be a parrot or copycat, I?m only here to salute and be grateful. Hollywood just got",10
An Excellent Film with a Brutal Ending,7
The Most Pretentious Director In Hollywood Strikes Again,4
Read if you did not understand,10
"A beautiful roller coaster The movie is portrayed by it's trailer as a horror film and rightly so, humanity and the themes this movie explore are horrific. I can't say I enjoyed this film, there are some difficult scenes and this is a movie like say Clock Work Orange, it will push and test you. It will make you talk and question things afterwards. This is not a casual movie to go and enjoy, it's a questionable thought provoking experience. It's rare for a film these days to evoke such thought, so many mixed reactions and to explore themes that everyone will understand differently. Outstanding acting, intelligent cinematography, just go and see it,",10
"mother! Don't you hate it when you're about to sit down for dinner but then you find yourself in a warzone on the verge of giving birth? Having seen this movie once before, I think I can affirm my previous suspicion: that this is a much more enjoyable experience when you know going in that this story is the story of God and the Bible etc. Back when I originally saw it, I think I actually hated it. Everything almost makes sense and then it will violently shift away from clarity into its next confusion. Now, it was better for me to think about the hidden meanings as I'm seeing these events unfold. Also this time around, I'm really more aware of how well Jennifer Lawrence played this role. This may be the best thing I've seen her in. Javier Bardem isn't necessarily playing a villain here, but his presence is honestly scary/intimidating. That's just how the man is.",6
Heavy Ingredients Severely Undercooked,2
"Great Before I watched the movie, I read about it on wikipedia. No spoilers though. While watching the movie, I said, wait, what does this look like, I understood everything in the second half of the movie. It was a very good concept and movie. Forget about the critics, this is a great movie.",8
"Better than Expected, not at all Pretentious",7
I want my 2 hours back!,1
Fantastic experience! Weird experience in the best possible way. Will keep you on the edge of your seat all,8
"hold on to your butts Greetings again from the darkness. Him. Mother. Man. Woman. When those are the identifiers of the four main characters (none have a real name), one might assume that the filmmaker is lazy. However, after watching the latest from the psycho-creative force known as Darren Aronofsky, we understand that names weren't necessary, and even if they had been, he was probably too mentally exhausted from finding ways to torture those characters and confound the viewers. The first half of the film is discomforting and creepy while the second half is downright crazed and deranged. You won't find many story details in this review, as the fun is in the shock. Most of the film is through the eyes of Jennifer Lawrence, and we share her confusion and disoriented state. She is married to a famous poet played by Javier Bardem (yes, the age difference is acknowledged). While she spends her days refurbishing their stunning country home, he battles severe writer's block. Needless to say, their domestic bliss goes wrong but it's not the kind of wrong we've ever seen",7
Garbage,1
"Many ways ... many views ... many feelings You can tell by how people react to reviews on this, that they have made up their mind. The director himself likes the fact the movie does not leave people without emotions. Be it joy for liking it or hate for disliking it. Even strong annoyance if you feel that hate is too strong a word is well received. And we also know that the director does have a tendency to go religious on us. That is not a bad thing but it may be helpful for the viewer who want to know what is going on. Or want answers! They are sort of written down ... in a book. But this is not just the making of ... this can also be seen as an allegory on many other things. And Darren is not someone who'd squash anyones view on the matter. He said he made one movie, but he welcomes any other interpretation. And there is a lot to discover. If you are open and receiving for the way the movie tells its story, for the way the characters behave (because they can be pretty annoying, especially out of context, but",10
"Terrifyingly Truthful I can not stop thinking about this movie and how it has impacted me emotionally with surprisingly a well known story by most of us, characters and visuals of humanity and inhumanity. A brutal master piece.",10
Disturbing psychological thriller.,7
It made me miss Rosemary Woodhouse,1
BEAUTIFUL ALLEGORY Very few will have the maturity and/or clarity to comprehend this movie! This is fine artwork on film. This motion picture starts off with a slow burn shrouded in mystery. Next it demonstrates the cruelness and ignorance of humanity.,10
"Why so much hate ? It doesn't deserve that Finally watched this movie and i can't understand the amount of negative reviews, the plot was interesting and kept me thrilled , the acting was good, the cinematography and the colour grading were amazing, the whole movie as a concept and the metaphor of it were really unique and sometimes shocking, i really enjoyed this movie and i hope poeple will rewatch it and gave it a chance, maybe it's not for everyone but definitely impactful",7
Hilarious!,4
"Beautiful Firstly, this is not a horror movie. Advertised as such, not a horror movie at all. Just beautiful allegories abound which many will claim as pretentious. Amazing performances by the actors and actresses and a wonderful story that speaks volumes, straight from the visionary artist Aronofsky. Wonderful and great, does not deserve any of the hate.",10
"An art-house tour-de-force indeed, but not without its shortcomings. Darren Aronofsky's ""Mother!"" is a surrealist, hard-hitting, and horrifying allegory that packs a visceral and intense punch. The film is an intricate tapestry of Biblical imagery and themes that leave viewers grappling with complex philosophical questions. Jennifer Lawrence stars as Mother, a woman who lives with her poet husband, Him (Javier Bardem), in a secluded house. As the film progresses, their tranquil existence is disrupted by a series of increasingly disturbing visitors, culminating in an apocalyptic ending that will leave you feeling broken, almost as if you just want to wail about the horror you've witnessed, and it is indeed a truly horrifying film, playing on your senses and emotions the entire run through, making you question space and time by the end of it. The film is a tour-de-force in terms of visual storytelling. The cinematography, by Matthew Libatique, is strikingly beautiful and hauntingly dark. The camera work is",7
complete waste of 2hrs,1
Only a Horror if you are Human Calling this the worst movie of all time is a big mistake. The reason it's getting panned and rated very low is because human beings on the whole have a problem looking at them selves and admitting that We are a monstrous creation . This movie is hard to watch because it is hard for us to see fault in anything we do . It is easier to say we hate something or that it is horrible than to admit that this movie hits a nerve! Humans have ruined the Earth and when she is ready... she will rid herself of us ! Even at her own,10
I have a different view of what this is about,8
"A film in a hurry Darren Aronoksy's ""Mother!"" reminded me of a varied bunch of other movies, including ""Pacific Heights"", ""The Shining"" and ""Rosemary's Baby"". A stranger comes into a pregnant woman's home: superficially polite and plausible, soemthing about him rubs her up the wrong way: he doesn't respect the boundaries she expects him to, while her partner seems strangely oblivious to the oddness of their guest's conduct. Is she paranoid, or is there really something wrong here? I like the premise, but the film seems in a hurry throughout, escalating rapidly where there might have been more mileage in letting things simmer; and ultimately plunging into a graphic supernatural horror that feels a long way from the film's opening moments. In the end, the protagonist is effectively revealed as doomed from the start, and the nighmarish quality present throughout loses its interest",6
"WTF Well this was a waste of celluloid. None of the characters have names, they kind of simply moved about spouting lines that really didn't tract or entertain. Ugh, this was painful. I think I would rather have been at the dentist.",1
"This is not a horror film. It's an anxiety inducing trip that will keep you on the edge of your seat and knock the wind right out of you. It will confuse you, disgust you, and blow your mind. It is 100% not a movie for everyone... by ANY means. However I enjoyed it greatly and even rewatching",8
Well made anxiety inducing film. Mother! Without going into spoilers is very divisive and bound to make you think. It perfectly induces a very intense dread and anxiety with good acting from its leads and shy camera angles. Definitely not for the most casual of viewings. I found myself hesitant to rewatch initially after viewing the film but given time to mull over my thoughts I can't wait to give it another go. I certainly have to recommend this film but if you're already feeling anxious perhaps,7
"Worst Movie Ever I don't have the strength to write everything that is bad about this movie. What's worse than the movie itself, and what made me open an account just so I can take the time to type this, is anybody who gives this movie more than one star...particularly those inferring that somehow you're not intellectual if you didn't like it. If you're the type of person who likes to look at a drawing that a 2 year created, perhaps consisting only of a poorly drawn circle, and somehow finds some hidden, deep meanings from that, then by all means, this movie is for you. Make it a religious circle to really make it interesting. Of the 1% of the people who feel this movie isn't the worst ever created, I figure ? of them are trying to make it appear that they're smarter than everybody else, ? of them are internet trolls just trying to stir things up, 1/8 are family and friends of the director and actors, 1/16 are using some serious opioids and the last 1/16th are religious fanatics. I really hope that adds up to 100% because, well, I guess I'm just not that smart. Can one of you 10 star people please check my arithmetic?",1
"A visual poem on life, death, destruction and renaissance A visual poem full of strong allegories . It's about how life wins over death, despite all the wars and conflicts, how humanity still exists thanks to women.",9
It's a sick man's nightmare,7
"Art is not shoving everything into a blender... As I say in the title of my review, it is neither artful nor profound to jam every possible reference and metaphor into your movie. It's lazy. It means you have no clear direction and/or are trying to appear meaningful while being unable to resist inserting your own 'struggle' into the 'high concept'... as though you are equating yourself with the existential conflicts of gods and nature... I should think this is the penultimate epitome of pretentiousness and narcissism. Yes, I got ALL the possible meanings of everything thrust into this amalgamation of horror and pseudo-philosophy tropes. And that was the problem... they were ALL THERE. There was no one idea prevailing; it was, as other reviewers noted, throwing all the poo against the wall and seeing what stuck... and the result was merely akin to a port-a-potty explosion. The only reason I've given it a 2 was that there were so many abysmal movies this year",2
Highly underrated!,10
"Forget the ""critics"", just go watch this amazing movie! This is NOT the story of a writer and his wife. This is a story about an entire religion and its believers! Complete with a ""God"" that must make ""forgiveness"" the base of everything, no matter how much it upsets the real Goddess: his wife, mother Earth! Yes, it's an allegory. So what? This one analyzes and dissects the false goodness on which this entire religion is based. Including the Son of God who ends up killed by his admirers! And what was that about the communion every Sunday where the blood and body of Christ are eaten by the believers? Yes, the ""God's"" son also ends up eaten! No, it's not shocking! The religion it portrays is what is shocking! JLaw performs a festival of good acting, so",10
There is no easy way telling about this movie I could talk about the different perspectives or make analogies to advance literatrue or philosophical views. Or i could just tell you that this movie is about being annoyed over pretty much the entire film (which is true). It's not really a horror movie and it's difficult giving this movie a genre. I would try to keep it simple; this movie is about how you interpreters the world and this is my version. 1. The house is the world. Humans are intruders that can't behave. 2. The mother is god. God is giving us and just trying to give love to the simple things. 3. The father is the human prophet. The father is using god for his own purposes even if,7
"The weirdness of 'Mother!' has to be seen to be believed 'Mother!' is a perfect example of a film that raises such high hopes with one of the best and most disturbing trailers (every bit as much as the trailer for 'IT') of the year, yet turns out to be the complete anti-thesis in quality making it one of the most disappointing, and to me the strangest, films of the year. It is really sad for me to say this about 'Mother!' Appreciate Darren Aronofsky very highly, though totally get why his films don't click with all viewers, and really liked to loved all his pre-'Noah' films, especially 'The Wrestler' and 'Requiem for a Dream' ('Black Swan' was also great, and while it is one of his more polarising films likewise with 'The Fountain'). 'Noah' for me was a real disappointment, though it was nowhere near as bad as the initial audience response on IMDb (which was of vitriolic hate with severe objections to how the 'Noah's Ark' story was treated). To me, 'Mother!' is Aronofsky's worst. Was expecting to be terrified and riveted but ended",4
You are mostly all ignorant humans :) Darren Forever.,10
"Shades of gray, folks. Why does everyone feel compelled to review something as the best or worst thing ever. Really? How is that even remotely useful to the reader? It's not a review -that's a rant. For those of you who don't get it, there's a little something called experimental filmmaking. It's been around for about a century, and not designed with mainstream Hollywood consumers in mind. They're art house films, and if you walk blindly into an art house theater, please don't whine because you didn't get a watered down derivative literal narrative. Artists like Darren Aronofsky and David Lynch have been at this craft for quite some time, and they know literal narrative is not hard to pull off. Symbolism, surrealism, multiple layers of perspective, that's a considerable challenge. If it's not for you, it's not for you, but it's tiring to see a convenient dismissal when someone doesn't connect with a piece. Having said that, I don't think this was Aronofsky's best effort. I thought the main concepts and core storyline were fantastic, but felt would have been best realized as a short film and condensed to 40-50 minutes. The themes were repeated to the point of being redundant, and though the point was made, it could have been made more",6
OMG! Cant JLaw find something better to do? Worst movie ever made! From the start I was confused and then I was confused. This movie never went anywhere and I wasted two hours of my life watching it. This movie makes me want to vomit!!!! Didn't even find out about the secret potion. Everyone involved should have their movie making creds revoked immediately.,1
"Highly symbolic, highly disturbing, highly rewarding I attended the premiere screening of 'mother!' and the entire audience left the cinema speechless. Potentially Aronofsky's magnum opus, 'mother!' benefits from rich religious and environmental symbolism with so much more bubbling under the surface than the majority of mainstream cinema today. With a genius marketing plan - the film itself is shrouded in secrecy, with intriguing trailers which actually give away nothing - 'mother!' exceeds expectations and takes turn after turn, each more shocking and tantalising than the next. Aronofksy prefaced the screening with an apology for what we were about to witness, but that we will ""feel better tomorrow"", while Jennifer Lawrence noted its biblical and environmental themes. That doesn't give away anything, though. It's almost impossible to describe it - go and see for yourself -- but give yourself some time after to decompress.",10
Holy Mother of God! What a weird psychological movie!,6
The most pretentious film I've ever seen!,1
"Raw Art as its best I left Mother! with a bitter taste in my mouth. My visceral self didn't like what it just witnessed. However, as I reflected and let my mind go over the movie itself, I started to see all its quality, its symbolism. One day after having seen it, i can clearly say that i love this movie, and i suspect that it will be in my all time favourites as time goes by. This is the power of Mother!, one true experience. It's raw artistry of the highest order, a",10
"Completely bonkers in a way one is likely to love or hate but unlikely to feel indifferent to This strange horror film is centred on a young woman; she is married to an older man. He is a poet and she works to repair their home, which was previously damaged by a fire. The house is remote but one day a man turns up claiming to have mistaken it for a guest house. The poet invites him to stay the night against his wife's wishes. The next day the man's wife arrives, she almost immediately starts asking our protagonist awkward questions and makes her feel uncomfortable; still the poet won't make them leave. Things only get worse when the guests' two sons arrive; they fight and one is accidentally fatally injured... the nightmare is just beginning. I suspect this is one of those films that viewers are likely to really love or really hate but are very unlikely to consider 'merely okay'. The sense of unease is gradually introduced but quickly escalates to an early act of violence. Then things relax and appears to bet better before turning to a nightmare. There are plenty of scenes that are likely to disturb the viewer; especially towards the end. The young wife, played brilliantly by Jennifer",9
"A weird and really strange film that blends mystery , family drama and horror A terrifying and rare yarn with several characters with strong obsessions that drive them towards self-destruction. The roles in this film are unnamed and are referred to by descriptors. In the burnt-out remains of a large house , Him (Javier Bardem) , a known poet struggling with writer's block, places a crystal object on a pedestal in his study. The ruined house morphs into a lovely home in a landscape. In bed, Mother (Jennifer Lawrence) , the writer's spouse and muse, awakens and wonders aloud where Him is. While renovating the house, she starts seeing things that unsettle her, including visualizing a beating heart within its walls. Along the way, couple's relationship is tested when uninvited guests arrive at their home. One day, Man (Ed Harris) shows up at the house, asking for a room. Him readily agrees, and Mother reluctantly follows suit. During his stay, Man suffers coughing fits and Mother observes an open wound in his side. Soon Man's wife, Woman (Michelle Pfeiffer) , also arrives to stay. Then things go wrong when a large number of guests disrupting their tranquil existence. Seeing is believing !",6
Fell Incredibly Short of Expectations,3
"""How starved you must have been that my heart became a meal for your ego."" - - Amanda Torroni This is not a story about love or family. This is not a story about mothers! This is a story about Narcissism and Abuse. Only women who become a victims of narcissistic abuse could understand this movie! And it is very very strong and good! There are lots of people around us who are really evil, narcissistic, egocentric. People without empathy or love who destroy everything around. This is a story about the Love and the Ego!",10
"a film full of allegories and that will still have much to talk about. Mother! is a controversial film, a film that received very positive reviews, but also received many negatives, Darren Aronofsky is undoubtedly one of the great directors of the century, especially for the incredible Requiem for a Dream and the great Black Swan, he made a movie full of allegories the bible and also the film tries to give a message, but not all managed to capture (I for example, I saw some videos about people explaining better and understood more and more), the film has a great cast, Jennifer Lawrence is very well, Javier Bardem is fine too, the rest of the cast, Ed Harris, Michelle Pfeiffer, and etc are all very well, I have not seen any Oscar performance in the film, but the best is without a doubt to Jennifer Lawrence, Darren's direction is great , it's amazing how he manages to make the whole movie have Jennifer's character on the screen, at no time she's not on the scene, it's just like we were her, and that was very clever, the soundtrack does not exist, and this makes a greater tension, type in the masterpiece In Country for old Men, but the film is slow and gets very tiring with passing of the time, even if it is not being long, there are problematic parts that take a little of the movie, Mother! is",7
"Utter crap. If I was given the option to watch this movie again, or watch The Green Lantern 5 times in a row whilst having my toe nails pulled out, it would be a tough choice! What a terrible movie. I honestly have no idea what it was about. It was incredibly frustrating from start to finish. I think they tried to make some sort of arty master peace, but have fallen well short of the mark. Save your money, do not go and see this utter pile of crap.",1
WTF did I just watch? This is one f'd up movie! The tension it creates it's incredible. Brilliant acting and,9
"Deeply Awakening! Where to start - I've literally just finished watching this and spent the last hour questioning if I had been transported to another universe. This movie had all the potential to be something great, from the cast to the secluded creepy setting - but no, we got almost 2 hours of the what could only be described as one of those brainwashing experimental videos where you have no idea what's going on. If you like movies which make you feel uneasy, and make you think you're going mad then this might be the movies for you. Otherwise, I wouldn't bother. Edit: So after having a day or so to ponder over the meaning of this movie - I've changed my rating and edited my review based on what I have come to know.",6
